Quaywall nr,leeftijd,geometrie,rak,rakdeel,aantasting houten palen,aantasting houten palen score1,beschadigde kesp,beschadigde kesp score3,beschadigde paal-kesp/paal-vloer,paal-kesp/paal-vloer score4,risicoscore specialist
AMS0204-A,120.0,"LINESTRING (121848.078000002 486610.011999998, 121847.546 486611.388, 121846.441 486611.561999999, 121845.357000001 486611.833999999, 121844.300999999 486612.202, 121843.282000002 486612.662, 121842.309 486613.212000001, 121841.388 486613.846999999, 121840.528000001 486614.561000001, 121839.734999999 486615.348999999, 121839.015000001 486616.204999998, 121838.375 486617.122000001, 121838.372000001 486617.127, 121834.473999999 486623.943, 121833.940000001 486625, 121831.368000001 486630.671, 121830.971999999 486631.522, 121830.502 486632.335000001, 121829.960999999 486633.103, 121829.353999998 486633.818999998, 121828.684999999 486634.478, 121827.960000001 486635.074000001, 121827.184999999 486635.603, 121826.908 486635.769000001, 121775.65697265729 486665.35908820265)",AMS0204,A,85.0,4.0,97.0,4.0,25.0,2.0,9.0
AMS0204-D,120.0,"LINESTRING (121745.26981089968 486679.84106479643, 121701.49398053726 486684.27690474846)",AMS0204,D,86.0,4.0,100.0,4.0,30.0,3.0,8.0
AMS0204-E,120.0,"LINESTRING (121701.49398053726 486684.27690474846, 121670.65191823646 486687.4021556237)",AMS0204,E,83.0,4.0,100.0,4.0,44.0,3.0,7.0
AMS0204-I,120.0,"LINESTRING (121602.57356450871 486694.40926867625, 121589.623 486691.368999999, 121565.01501262689 486689.26987669274)",AMS0204,I,83.0,4.0,100.0,4.0,0.0,1.0,9.0
AMS0404-A,120.0,"LINESTRING (122017.730999999 486305.721000001, 122034.730999999 486250, 122038.756999999 486236.802999999, 122038.780999999 486236.754000001, 122038.846000001 486236.666000001, 122038.885000002 486236.627, 122038.973999999 486236.563999999, 122039.03682904641 486236.53849513753)",AMS0404,A,91.0,4.0,94.0,4.0,76.0,4.0,12.0
BDG0101-B,120.0,"LINESTRING (119606.78672902327 487170.9288619742, 119593.572999999 487202.774, 119593.414000001 487203.136, 119593.241999999 487203.491, 119593.055 487203.84, 119592.853999998 487204.18, 119592.640999999 487204.513, 119592.414000001 487204.837000001, 119592.175000001 487205.151000001, 119591.923 487205.456, 119591.66 487205.750999998, 119591.385000002 487206.035, 119591.098999999 487206.307999998, 119590.802999999 487206.57, 119590.497000001 487206.818999998, 119590.18 487207.056000002, 119589.855 487207.280999999, 119589.521000002 487207.493000001, 119589.179000001 487207.691, 119588.829999998 487207.875, 119588.473000001 487208.046, 119588.109999999 487208.202, 119587.741 487208.344000001, 119587.366999999 487208.471000001, 119586.988000002 487208.583999999, 119586.605 487208.681000002, 119586.219000001 487208.763, 119585.829 487208.829999998, 119585.436999999 487208.881000001, 119585.043000001 487208.916999999, 119584.649 487208.936999999, 119584.254000001 487208.941, 119583.857999999 487208.93, 119583.478 487208.905000001, 119583.098999999 487208.864999998, 119582.721000001 487208.809999999, 119582.346000001 487208.741, 119581.973999999 487208.658, 119581.62289595381 487208.56570435734)",BDG0101,B,75.0,4.0,64.0,4.0,18.0,2.0,10.666666666666666
BDG0102-01-A,110.0,"LINESTRING (119647.8642 487155.0359, 119647.861000001 487155.045000002, 119647.645 487154.969000001, 119646.838 487154.682, 119646.254999999 487154.475000001, 119645.704999998 487154.278999999, 119646.741999999 487151.602000002, 119647.780999999 487149.037, 119651.153999999 487140.936999999, 119652.66774376507 487137.3538175393)",BDG0102-01,A,83.0,4.0,100.0,4.0,14.0,2.0,12.0
BDG0102-01-B,120.0,"LINESTRING (119652.66774376507 487137.3538175393, 119666.48279199757 487104.6522206007)",BDG0102-01,B,100.0,4.0,70.0,4.0,38.0,3.0,12.0
BDG0201-B,120.0,"LINESTRING (119726.22110985528 486883.9545571762, 119714.749000002 486911.329, 119703.999000002 486937.409000002, 119677.960000001 486999.999000002, 119677.959600002 487000, 119652.130899999 487061.370999999)",BDG0201,B,57.0,4.0,54.0,4.0,30.0,3.0,9.0
BDG0302-A,120.0,"LINESTRING (119764.289799999 486869.4899, 119771.002999999 486852.912999999, 119777.388 486837.497000001, 119778.495999999 486834.861000001, 119779.612 486832.228, 119780.734999999 486829.598000001, 119782.978 486824.265000001, 119787.267999999 486814.009, 119791.197999999 486804.548, 119791.36316038527 486804.1475585023)",BDG0302,A,90.0,4.0,90.0,4.0,20.0,2.0,6.0
BDG0302-B,129.0,"LINESTRING (119791.36316038527 486804.1475585023, 119794.903000001 486795.565000001, 119823.206999999 486727.890000001, 119830.600000001 486710.162, 119836.439800002 486696.657000002)",BDG0302,B,88.0,4.0,59.0,4.0,52.0,4.0,8.0
BDG0401-A,131.0,"LINESTRING (119859.776099999 486561.769099999, 119854.26398503142 486575.1805349925)",BDG0401,A,100.0,4.0,0.0,1.0,17.0,2.0,4.0
BDG0401-C,128.0,"LINESTRING (119830.7709708937 486632.3409958612, 119820.13829119416 486658.21119150036)",BDG0401,C,100.0,4.0,0.0,1.0,17.0,2.0,6.0
BRG0603-A,409.0,"LINESTRING (121270.690000001 488056.909000002, 121271.089000002 488057.164999999, 121271.351 488057.302999999, 121271.620000001 488057.423, 121271.897999998 488057.526000001, 121272.181000002 488057.611000001, 121272.469000001 488057.677000001, 121272.761 488057.723999999, 121273.055 488057.752, 121273.350000001 488057.761, 121273.645 488057.750999998, 121273.940000001 488057.721999999, 121274.230999999 488057.673999999, 121274.519000001 488057.605999999, 121274.941 488057.471000001, 121287.38896024581 488053.2751106692)",BRG0603,A,50.0,4.0,50.0,4.0,0.0,1.0,4.666666666666667
BRG0603-B,409.0,"LINESTRING (121287.38896024581 488053.2751106692, 121301.50841469207 488048.515803352)",BRG0603,B,33.0,3.0,67.0,4.0,50.0,4.0,7.0
GDK0102-B,138.0,"LINESTRING (121991.72084600016 487693.47200782533, 121991 487691.260000002, 121990.920000002 487691.170000002, 121976.25 487643.460000001, 121939.58080203626 487523.29163966456)",GDK0102,B,92.0,4.0,7.0,1.0,3.0,1.0,8.0
GDK0102-C,139.0,"LINESTRING (121939.58080203626 487523.29163966456, 121925 487475.509)",GDK0102,C,100.0,4.0,2.0,1.0,0.0,1.0,7.0
GDK0202-A,139.0,"LINESTRING (121898.078000002 487388.820999999, 121896.70904467205 487384.3634748668)",GDK0202,A,50.0,4.0,33.0,3.0,17.0,2.0,4.0
GDK0202-B,139.0,"LINESTRING (121896.70904467205 487384.3634748668, 121894.80753841597 487378.1718835561)",GDK0202,B,100.0,4.0,29.0,2.0,0.0,1.0,6.0
HEG0101-B,120.0,"LINESTRING (121128.10867186569 487795.33175850124, 121129.263 487797.171, 121134.574999999 487807.063000001, 121138.392999999 487813.605999999, 121227.86527594461 487971.00874641904)",HEG0101,B,82.0,4.0,86.0,4.0,3.0,1.0,9.0
HEG0602-B,120.0,"LINESTRING (120930.80191592444 486916.6175416799, 120930.528999999 486912.02, 120930.35185001734 486908.29985034314)",HEG0602,B,17.0,2.0,13.0,2.0,25.0,2.0,4.0
HEG0602-E,120.0,"LINESTRING (120929.91274097221 486900.0014898009, 120929.423999999 486890.997000001, 120929.384 486890.670000002, 120929.340999998 486890.486000001, 120929.284000002 486890.304000001, 120929.214000002 486890.127999999, 120929.131000001 486889.958000001, 120929.035 486889.794, 120928.927000001 486889.638)",HEG0602,E,100.0,4.0,25.0,2.0,13.0,2.0,4.0
HEG0801-A,120.0,"LINESTRING (121307.725000001 486471.802999999, 121307.748 486471.903999999, 121269.32986955979 486480.6289476864)",HEG0801,A,67.0,4.0,100.0,4.0,6.0,1.0,8.0
HEG0801-C,118.0,"LINESTRING (121201.0857613077 486496.20879410487, 121172.806000002 486502.719000001, 121170.38843137785 486503.27448038873)",HEG0801,C,33.0,3.0,100.0,4.0,31.0,3.0,8.0
HEG0801-E,120.0,"LINESTRING (121134.06734340153 486533.147094456, 121115.02055692948 486550.84511482803)",HEG0801,E,50.0,4.0,100.0,4.0,3.0,1.0,8.0
HEG0801-F,118.0,"LINESTRING (121115.02055692948 486550.84511482803, 121101.10175143066 486563.7782835614)",HEG0801,F,100.0,4.0,100.0,4.0,5.0,1.0,5.333333333333333
HEG0801-G,120.0,"LINESTRING (121101.10175143066 486563.7782835614, 121100.607000001 486564.238000002, 121082.473999999 486581.581999999, 121082.30547923686 486581.7420392486)",HEG0801,G,50.0,4.0,100.0,4.0,7.0,1.0,8.0
KBW0401-A,140.0,"LINESTRING (121548.444800001 486824.439399999, 121551.13801243453 486828.65207216615)",KBW0401,A,100.0,4.0,14.0,2.0,43.0,3.0,8.0
KBW0401-B,127.0,"LINESTRING (121551.13801243453 486828.65207216615, 121553.077 486831.684999999)",KBW0401,B,100.0,4.0,14.0,2.0,43.0,3.0,6.666666666666667
KPG0202-A,120.0,"LINESTRING (121035.201000001 488214.912, 121037.030999999 488214.971000001, 121041.221000001 488217.090999998, 121043.64113723185 488221.4356729215)",KPG0202,A,100.0,4.0,78.0,4.0,33.0,3.0,7.0
KPG0202-C,120.0,"LINESTRING (121044.78471917017 488223.4886513311, 121067.693 488264.614)",KPG0202,C,83.0,4.0,100.0,4.0,86.0,4.0,10.666666666666666
KZG0101-A,100.0,"LINESTRING (120993.804000001 487866.425999999, 120993.759 487866.839000002, 120993.758000001 487867.254999999, 120993.800000001 487867.668000001, 120993.884 487868.074999999, 120994.010000002 487868.471000001, 120994.175999999 487868.852000002, 120994.309 487869.094999999, 120998.910999998 487876.890999999, 121000.49334839331 487879.64558130776)",KZG0101,A,83.0,4.0,100.0,4.0,25.0,2.0,9.0
KZG0101-C,100.0,"LINESTRING (121010.95839942974 487897.8522452054, 121015.800999999 487906.261, 121021.710999999 487916.620999999, 121025.37524258633 487923.0147576309)",KZG0101,C,83.0,4.0,73.0,4.0,9.0,1.0,8.0
KZG0101-D,100.0,"LINESTRING (121025.37524258633 487923.0147576309, 121033.82814764878 487937.7642795216)",KZG0101,D,33.0,3.0,8.0,1.0,15.0,2.0,6.0
KZG0101-E,100.0,"LINESTRING (121033.82814764878 487937.7642795216, 121034.960999999 487939.741, 121039.771695757 487948.18896505446)",KZG0101,E,100.0,4.0,0.0,1.0,0.0,1.0,5.333333333333333
KZG0101-F,100.0,"LINESTRING (121039.771695757 487948.18896505446, 121042.74075030148 487953.4028614009)",KZG0101,F,100.0,4.0,0.0,1.0,0.0,1.0,6.0
KZG0101-G,100.0,"LINESTRING (121042.74075030148 487953.4028614009, 121050.65822908678 487967.3065849915)",KZG0101,G,100.0,4.0,0.0,1.0,0.0,1.0,5.333333333333333
KZG0101-H,100.0,"LINESTRING (121050.65822908678 487967.3065849915, 121065.50350180922 487993.3760667239)",KZG0101,H,50.0,4.0,38.0,3.0,8.0,1.0,9.0
KZG0101-I,100.0,"LINESTRING (121065.50350180922 487993.3760667239, 121116.791000001 488083.441)",KZG0101,I,88.0,4.0,64.0,4.0,7.0,1.0,6.0
KZG0202-B,120.0,"LINESTRING (120991.9043500051 487809.54157604877, 120984.660999998 487796.941, 120975 487780.046, 120974.00537088944 487778.3065806525)",KZG0202,B,86.0,4.0,100.0,4.0,50.0,4.0,7.0
KZG0202-C,120.0,"LINESTRING (120974.00537088944 487778.3065806525, 120968.04865557232 487767.8894052853)",KZG0202,C,100.0,4.0,100.0,4.0,40.0,3.0,6.0
KZG0202-D,120.0,"LINESTRING (120968.04865557232 487767.8894052853, 120965.951000001 487764.221000001, 120964.08234581549 487760.941862394)",KZG0202,D,33.0,3.0,100.0,4.0,20.0,2.0,6.0
KZG0202-E,120.0,"LINESTRING (120964.08234581549 487760.941862394, 120957.846999999 487750, 120957.842 487750, 120957.64327681536 487749.6514779538)",KZG0202,E,50.0,4.0,100.0,4.0,50.0,4.0,8.0
KZG0202-G,120.0,"LINESTRING (120942.2881557098 487722.7215641806, 120930.89564650245 487702.74130557466)",KZG0202,G,67.0,4.0,100.0,4.0,17.0,2.0,6.0
KZG0202-I,120.0,"LINESTRING (120910.58726052412 487667.12432284234, 120890.2788745458 487631.50734011)",KZG0202,I,100.0,4.0,94.0,4.0,23.0,2.0,6.0
KZG0202-J,120.0,"LINESTRING (120890.2788745458 487631.50734011, 120888.489999998 487628.370000001, 120888.340999998 487628.155000001)",KZG0202,J,100.0,4.0,50.0,4.0,50.0,4.0,7.0
KZG0801-C,120.0,"LINESTRING (120861.79909397961 486581.2023926127, 120816.072000001 486625, 120781.11740640622 486658.47996821033)",KZG0801,C,71.0,4.0,100.0,4.0,19.0,2.0,9.333333333333334
KZG0802-B,120.0,"LINESTRING (120812.26046422496 486665.4392556931, 120838.719999999 486640.305, 120854.918000001 486625, 120868.366999999 486612.291999999, 120890.287999999 486591.631999999)",KZG0802,B,69.0,4.0,100.0,4.0,16.0,2.0,7.0
KZG0901-A,120.0,"LINESTRING (121081.425999999 486372.570999999, 120975 486473.563999999, 120932.840999998 486513.570999999, 120905.568999998 486539.451000001, 120905.098000001 486539.899, 120904.625999998 486540.346000001, 120903.864999998 486541.068, 120901.506000001 486543.307, 120901.17138703266 486543.62806823174)",KZG0901,A,89.0,4.0,41.0,3.0,31.0,3.0,7.0
KZG0901-C,120.0,"LINESTRING (120896.9141836121 486547.71294510085, 120895.157000002 486549.399)",KZG0901,C,0.0,1.0,100.0,4.0,0.0,1.0,5.333333333333333
KZG1102-B,120.0,"LINESTRING (121521.80012364846 486295.42272242275, 121531.54265955913 486293.1681727938)",KZG1102,B,80.0,4.0,13.0,2.0,0.0,1.0,7.0
LAG0202-A,120.0,"LINESTRING (120429.728 487137.535999998, 120419.085999999 487132.127, 120299.230455732 487082.19040949614)",LAG0202,A,90.0,4.0,48.0,3.0,90.0,4.0,6.0
LAG0202-B,120.0,"LINESTRING (120299.230455732 487082.19040949614, 120298.098999999 487081.719000001, 120292.252 487079.280000001, 120292.03325658385 487079.1838069982)",LAG0202,B,100.0,4.0,100.0,4.0,100.0,4.0,10.666666666666666
LAG0202-C,120.0,"LINESTRING (120292.03325658385 487079.1838069982, 120285.620999999 487076.364, 120285.548 487076.338, 120285.414000001 487076.306000002, 120285.276999999 487076.289000001, 120285.21520532719 487076.2876566372)",LAG0202,C,14.0,2.0,17.0,2.0,17.0,2.0,8.0
LEG0101-A,120.0,"LINESTRING (120804.826000001 486690.835999999, 120804.506000001 486691.401000001, 120804.403999999 486691.613000002, 120804.313999999 486691.831, 120804.238000002 486692.054000001, 120804.175999999 486692.282000002, 120804.127999999 486692.511999998, 120804.094000001 486692.745000001, 120804.074000001 486692.98, 120804.068999998 486693.215999998, 120804.078000002 486693.451000001, 120804.081999999 486693.655999999, 120804.101 486693.846000001, 120804.133000001 486694.034000002, 120804.18 486694.219000001, 120804.241 486694.399999999, 120804.315000001 486694.576000001, 120804.401999999 486694.745999999, 120804.502 486694.908, 120804.614 486695.063000001, 120804.737 486695.208999999, 120807.897 486697.074999999, 120835.057999998 486712.818999998, 120869.127 486732.675999999, 120881.833000001 486739.982000001, 120889.691 486744.669, 120889.622000001 486744.791000001, 120891.699999999 486746.199999999)",LEG0101,A,92.0,4.0,100.0,4.0,10.0,2.0,6.0
LEG0102-A,120.0,"LINESTRING (120904.210999999 486734.460999999, 120893.447999999 486728.539000001, 120873.892000001 486717.590999998, 120861.175000001 486710.511999998, 120834.517000001 486695.636, 120816.057999998 486685.206, 120816.037999999 486685.241, 120812.57774036234 486683.2767037296)",LEG0102,A,67.0,4.0,1.0,1.0,1.0,1.0,4.666666666666667
LEG0201-A,157.0,"LINESTRING (120661.454 486610.269000001, 120660.752999999 486611.592, 120660.682 486611.738000002, 120660.609999999 486611.914000001, 120660.552999999 486612.094999999, 120660.509 486612.278999999, 120660.478999998 486612.467, 120660.464000002 486612.655999999, 120660.463 486612.844999999, 120660.477000002 486613.035, 120660.504000001 486613.221999999, 120660.546 486613.407000002, 120660.602000002 486613.589000002, 120660.671 486613.765000001, 120660.754000001 486613.936000001, 120660.848999999 486614.100000001, 120660.956999999 486614.256000001, 120661.076000001 486614.403999999, 120661.206 486614.541999999, 120661.346000001 486614.670000002, 120661.495000001 486614.787, 120661.653000001 486614.892999999, 120661.818 486614.986000001, 120665.991 486617.131999999, 120680.024 486625, 120681.645 486625.909000002, 120700.449000001 486636.835000001, 120720.221999999 486647.971000001, 120739.469000001 486658.892999999, 120753.816 486667.07, 120754.677000001 486666.113000002, 120755.546999998 486664.826000001, 120756.686000001 486663.013999999, 120756.719999999 486662.973000001, 120756.763999999 486662.942000002, 120756.813999999 486662.923999999, 120756.868000001 486662.920000002, 120756.920000002 486662.93, 120756.953000002 486662.945, 120761.78462926135 486665.6506728147)",LEG0201,A,47.0,3.0,10.0,2.0,2.0,1.0,4.0
LEG0202-A,120.0,"LINESTRING (120762.118999999 486652.559, 120754.804000001 486648.616999999, 120748.368000001 486645.085999999, 120729.524 486634.688000001, 120712.236000001 486625, 120710.436000001 486623.991, 120693.068999998 486614.331, 120672.787999999 486603.309, 120669.20685197406 486601.5479734144)",LEG0202,A,73.0,4.0,2.0,1.0,2.0,1.0,4.666666666666667
LEG0301-A,120.0,"LINESTRING (120516.155999999 486528.243999999, 120516.585999999 486528.498, 120516.524999999 486528.602000002, 120516.449999999 486528.747000001, 120516.396000002 486528.884, 120516.355999999 486529.026000001, 120516.329999998 486529.170000002, 120516.318 486529.317000002, 120516.320999999 486529.464000002, 120516.338 486529.609999999, 120516.368999999 486529.752999999, 120516.414000001 486529.892999999, 120516.473000001 486530.028000001, 120516.544 486530.155999999, 120516.627999999 486530.276999999, 120516.723000001 486530.388999999, 120516.828000002 486530.491, 120516.943999998 486530.581999999, 120517.067000002 486530.662, 120542.36474198342 486545.2697405786)",LEG0301,A,100.0,4.0,74.0,4.0,44.0,3.0,8.0
LEG0301-B,120.0,"LINESTRING (120542.36474198342 486545.2697405786, 120558.73203868238 486554.72075104143)",LEG0301,B,83.0,4.0,61.0,4.0,33.0,3.0,8.0
LEG0301-C,120.0,"LINESTRING (120558.73203868238 486554.72075104143, 120613.89589051963 486586.5741566753)",LEG0301,C,89.0,4.0,72.0,4.0,2.0,1.0,8.0
OUS0103-B,120.0,"LINESTRING (122239.20422408369 487201.1426664291, 122226.73114214571 487192.810666251)",OUS0103,B,100.0,4.0,73.0,4.0,9.0,1.0,9.0
OUS0103-F,120.0,"LINESTRING (122194.30112910699 487171.1474657878, 122185.98574114834 487165.5927990024)",OUS0103,F,50.0,4.0,0.0,1.0,57.0,4.0,9.0
SIN0702-D,120.0,"LINESTRING (121025.72298940572 487064.07863900025, 121025.188999999 487059.673, 121024.653000001 487055.072999999, 121024.49811101306 487053.14822688675)",SIN0702,D,100.0,4.0,40.0,3.0,20.0,2.0,4.666666666666667
SIN0702-E,120.0,"LINESTRING (121024.49811101306 487053.14822688675, 121024.331999999 487051.083999999, 121024.11585586231 487047.9122559184)",SIN0702,E,100.0,4.0,0.0,1.0,0.0,1.0,5.333333333333333
SIN0802-A,90.0,"LINESTRING (121021.392999999 487029.557999998, 121021.590999998 487029.530999999, 121018.7145632427 487008.042496619)",SIN0802,A,67.0,4.0,63.0,4.0,69.0,4.0,8.0
SIN0802-D,120.0,"LINESTRING (121003.5200976645 486894.53508718254, 121003.083000001 486891.249000002)",SIN0802,D,100.0,4.0,17.0,2.0,100.0,4.0,9.333333333333334
HEG0201-A,120.0,"LINESTRING (120998.554000001 487570.373, 121020.140000001 487607.695999999, 121020.488000002 487607.499000002, 121021.22068460585 487608.79000997305)",HEG0201,A,100.0,4.0,100.0,4.0,35.0,3.0,8.0
HEG0201-C,120.0,"LINESTRING (121055.73513838416 487670.39344097616, 121063.263 487683.545000002, 121063.601 487683.351, 121063.82746396361 487683.7475529061)",HEG0201,C,100.0,4.0,100.0,4.0,91.0,4.0,8.0
HEG0201-E,120.0,"LINESTRING (121090.60669115058 487730.6396950119, 121101.662999999 487750, 121117.252999999 487777.298, 121117.39790633021 487777.5246030529)",HEG0201,E,100.0,4.0,67.0,4.0,14.0,2.0,4.666666666666667
HEG1102-A,117.0,"LINESTRING (121690.877 486490.241, 121693.114999998 486494.741999999, 121705.199999999 486498.015999999, 121724.82608727472 486503.7717345126)",HEG1102,A,75.0,4.0,100.0,4.0,63.0,4.0,7.0
HEG1102-B,120.0,"LINESTRING (121724.82608727472 486503.7717345126, 121732.182 486505.929000001, 121750.079999998 486511.364999998, 121750.892000001 486511.612, 121753.921 486512.506000001, 121765.4898414141 486515.9899820702)",HEG1102,B,88.0,4.0,88.0,4.0,0.0,1.0,7.0
HEG1102-C,100.0,"LINESTRING (121765.4898414141 486515.9899820702, 121775.445 486518.988000002, 121789.3860797041 486523.33540916047)",HEG1102,C,0.0,1.0,100.0,4.0,50.0,4.0,9.333333333333334
HEG1102-D,83.0,"LINESTRING (121789.3860797041 486523.33540916047, 121789.59 486523.399, 121789.576000001 486523.511, 121841.868999999 486539.107999999)",HEG1102,D,100.0,4.0,100.0,4.0,0.0,1.0,7.0
KZG0902-A,120.0,"LINESTRING (120916.921 486566.522, 120975 486511.653000001, 121004.15003975343 486484.11390195333)",KZG0902,A,100.0,4.0,89.0,4.0,11.0,2.0,4.666666666666667
KZG0902-B,116.0,"LINESTRING (121004.15003975343 486484.11390195333, 121015.78055613782 486473.1261319961)",KZG0902,B,100.0,4.0,100.0,4.0,0.0,1.0,4.666666666666667
KZG0902-C,120.0,"LINESTRING (121015.78055613782 486473.1261319961, 121095.530999999 486397.783)",KZG0902,C,81.0,4.0,100.0,4.0,10.0,2.0,4.666666666666667
KZG1001-B,120.0,"LINESTRING (121265.50559650613 486326.24754567776, 121140.72274313479 486354.7649001221)",KZG1001,B,95.0,4.0,83.0,4.0,25.0,2.0,4.0
KZG1001-D,120.0,"LINESTRING (121117.32595812765 486360.11190408043, 121103.19040051918 486363.34238563856)",KZG1001,D,67.0,4.0,100.0,4.0,0.0,1.0,6.0
KZG1001-E,120.0,"LINESTRING (121103.19040051918 486363.34238563856, 121097.809999999 486364.572000001)",KZG1001,E,100.0,4.0,0.0,1.0,0.0,1.0,4.666666666666667
KZG1002-A,100.0,"LINESTRING (121109.421999998 486389.853999998, 121138.6797871242 486383.22211546364)",KZG1002,A,100.0,4.0,55.0,4.0,0.0,1.0,5.333333333333333
KZG1002-B,100.0,"LINESTRING (121138.6797871242 486383.22211546364, 121271.31508876299 486353.157572241)",KZG1002,B,68.0,4.0,99.0,4.0,2.0,1.0,8.0
KZG1002-C,100.0,"LINESTRING (121271.31508876299 486353.157572241, 121273.558185776 486352.64912776)",KZG1002,C,100.0,4.0,100.0,4.0,50.0,4.0,8.0
PRG0201-A,82.0,"LINESTRING (120779.107000001 487757, 120782.96689383243 487764.0072262423)",PRG0201,A,0.0,1.0,0.0,1.0,0.0,1.0,2.6666666666666665
PRG0201-B,74.0,"LINESTRING (120782.96689383243 487764.0072262423, 120784.291000001 487766.410999998, 120786.83326885615 487771.0108764023)",PRG0201,B,0.0,1.0,0.0,1.0,0.0,1.0,8.0
PRG0201-C,74.0,"LINESTRING (120786.83326885615 487771.0108764023, 120790.061000001 487776.851, 120796.471000001 487788.271000002, 120818.011 487825.681000002, 120847.03033234138 487877.12365724985)",PRG0201,C,100.0,4.0,30.0,3.0,11.0,2.0,8.0
PRG0201-D,155.0,"LINESTRING (120847.03033234138 487877.12365724985, 120855.451000001 487892.050999999, 120870.421 487918.971000001)",PRG0201,D,88.0,4.0,15.0,2.0,5.0,1.0,8.0
PRG1002-A,120.0,"LINESTRING (121011.546 486214.186999999, 121030.681000002 486209.721000001, 121034.081 486208.971000001, 121120.71329666839 486189.158255426)",PRG1002,A,89.0,4.0,100.0,4.0,99.0,4.0,8.0
PRG1002-C,120.0,"LINESTRING (121147.03374512773 486183.13878760074, 121238.322999999 486162.261, 121238.491 486162.219000001, 121238.658 486162.171999998, 121238.822000001 486162.118999999, 121238.984999999 486162.059999999, 121239.146000002 486161.995999999, 121239.305 486161.925999999, 121239.528000001 486161.816, 121239.598000001 486161.776000001, 121239.666000001 486161.73, 121239.73 486161.68, 121239.789999999 486161.625, 121239.844999999 486161.566, 121239.896000002 486161.502999999, 121239.943 486161.436999999, 121239.984000001 486161.366999999, 121240.02 486161.294, 121240.050999999 486161.219000001, 121240.076000001 486161.140999999, 121240.094999999 486161.063000001, 121240.109000001 486160.982000001, 121240.116 486160.901999999, 121240.116999999 486160.82, 121240.113000002 486160.739, 121240.092 486160.605999999, 121240.252999999 486160.570999999)",PRG1002,C,100.0,4.0,100.0,4.0,100.0,4.0,8.0
SIN0502-A,122.0,"LINESTRING (121108.965999998 487498.43, 121104.495999999 487483.026999999, 121097.682999998 487458.217, 121091.822000001 487436.567000002, 121090.84072969694 487432.89200075343)",SIN0502,A,100.0,4.0,10.0,2.0,26.0,2.0,10.666666666666666
WKN0103-02-B,128.0,"LINESTRING (120682.85684398528 488861.2013435051, 120686.657000002 488871.570999999, 120688.864999998 488877.502999999, 120691.421999998 488884.044, 120694.245000001 488891.030000001, 120696.77 488897.017000001, 120699.471999999 488903.272, 120702.316 488909.77, 120704.892000001 488915.612, 120707.907000002 488922.420000002, 120711.199000001 488929.710000001, 120713.778999999 488935.197999999, 120715.715999998 488939.284000002, 120717.3041419089 488942.679635663)",WKN0103-02,B,19.0,2.0,96.0,4.0,60.0,4.0,9.333333333333334
WKN0103-02-D,128.0,"LINESTRING (120727.69512055819 488969.9412656081, 120733.80875916373 488989.5084172404)",WKN0103-02,D,67.0,4.0,100.0,4.0,60.0,4.0,9.333333333333334
HEG1102-A,117.0,"LINESTRING (121690.877 486490.241, 121693.114999998 486494.741999999, 121705.199999999 486498.015999999, 121724.82608727472 486503.7717345126)",HEG1102,A,75.0,4.0,0.0,1.0,38.0,3.0,6.0
