Quaywall nr,leeftijd,geometrie,rak,rakdeel,aantasting houten palen,aantasting houten palen score1,beschadigde kesp,beschadigde kesp score3,beschadigde paal-kesp/paal-vloer,paal-kesp/paal-vloer score4,risicoscore specialist
HEG1102-B,100.0,"LINESTRING (121724.82608727472 486503.7717345126, 121732.182 486505.929000001, 121750.079999998 486511.364999998, 121750.892000001 486511.612, 121753.921 486512.506000001, 121765.4898414141 486515.9899820702)",HEG1102,B,100.0,4.0,75.0,4.0,0.0,1.0,6.0
HEG1102-C,100.0,"LINESTRING (121765.4898414141 486515.9899820702, 121775.445 486518.988000002, 121789.3860797041 486523.33540916047)",HEG1102,C,0.0,1.0,17.0,2.0,50.0,4.0,4.0
HEG1102-D,100.0,"LINESTRING (121789.3860797041 486523.33540916047, 121789.59 486523.399, 121789.576000001 486523.511, 121841.868999999 486539.107999999)",HEG1102,D,100.0,4.0,100.0,4.0,0.0,1.0,6.0
PRG0102-A,120.0,"LINESTRING (121037.013999999 488160.085000001, 121037.032000002 488159.670000002, 121037.02 488159.392999999, 121036.989 488159.118000001, 121030.629000001 488148.416999999, 121029.556000002 488146.611000001, 121029.037999999 488145.706999999, 121017.173 488125, 120994.980999999 488086.271000002, 120975 488051.598999999, 120964.541000001 488033.351, 120955.831 488017.960999999, 120936.761 487984.631000001, 120928.910999998 487971.101, 120920.090999998 487955.721000001, 120908.210999999 487934.921, 120901.081 487921.691)",PRG0102,A,91.0,4.0,100.0,4.0,0.0,1.0,7.0
RMG0101-A,120.0,"LINESTRING (121698.25 487010.59, 121701.449999999 487009.129999999, 121731.405999999 487000.000999998, 121731.414000001 487000, 121799.598000001 486979.221000001, 121805.66347114094 486975.97681577585)",RMG0101,A,92.0,4.0,33.0,3.0,33.0,3.0,8.0
RMG0101-C,39.0,"LINESTRING (121808.61475093524 486973.281483017, 121811.447999999 486970.66, 121818.197000001 486964.469000001, 121821.526999999 486961.478999998, 121824.884 486958.521000002)",RMG0101,C,0.0,1.0,0.0,1.0,0.0,1.0,2.6666666666666665
PRG1001-A,27.0,"LINESTRING (121235.394000001 486138.473999999, 121235.254999999 486138.504999999, 121235.237 486138.425999999, 121235.214000002 486138.348000001, 121235.184999999 486138.272999998, 121235.149999999 486138.199000001, 121235.109999999 486138.129000001, 121235.065000001 486138.061000001, 121235.015000001 486137.997000001, 121234.960000001 486137.936999999, 121234.901000001 486137.881000001, 121234.838 486137.829, 121234.772 486137.783, 121234.702 486137.741, 121234.629000001 486137.704999998, 121234.554000001 486137.673999999, 121234.477000002 486137.649, 121234.397999998 486137.629000001, 121234.318 486137.614999998, 121234.237 486137.607999999, 121234.039000001 486137.603, 121233.905000001 486137.607000001, 121233.772 486137.616999999, 121233.638 486137.633000001, 121233.506000001 486137.655000001, 121233.375 486137.682999998, 121230.91480783143 486138.26168471266)",PRG1001,A,0.0,1.0,0.0,1.0,0.0,1.0,2.6666666666666665
PRG1001-B,100.0,"LINESTRING (121230.91480783143 486138.26168471266, 121090.74039818623 486171.2334132178)",PRG1001,B,100.0,4.0,31.0,3.0,17.0,2.0,7.0
PRG1001-C,27.0,"LINESTRING (121090.74039818623 486171.2334132178, 121073.741 486175.232000001, 121070.29651261854 486176.0341673508)",PRG1001,C,17.0,2.0,0.0,1.0,0.0,1.0,4.666666666666667
PRG1001-D,100.0,"LINESTRING (121070.29651261854 486176.0341673508, 120998.824000001 486192.679000001, 120998.715999998 486192.708000001, 120998.625999998 486192.739999998, 120998.539000001 486192.776999999, 120998.454 486192.82, 120998.373 486192.868000001, 120998.294 486192.921, 120998.27146549252 486192.9384266854)",PRG1001,D,67.0,4.0,48.0,3.0,53.0,4.0,9.333333333333334
SIN0201-A,153.0,"LINESTRING (121278.127999999 487810.252, 121278.166000001 487810.750999998, 121278.072999999 487810.890000001, 121277.958000001 487811.092, 121277.859999999 487811.302000001, 121277.780000001 487811.519000001, 121277.717999998 487811.743000001, 121277.675000001 487811.969999999, 121277.646000002 487812.317000002, 121277.649999999 487812.548, 121277.673999999 487812.778999999, 121277.717 487813.006999999, 121277.778000001 487813.23, 121277.903999999 487813.554000001, 121278.010000002 487813.760000002, 121278.133000001 487813.956999999, 121341.31340880615 487906.5408147167)",SIN0201,A,76.0,4.0,66.0,4.0,37.0,3.0,8.0
SIN0201-C,153.0,"LINESTRING (121369.52220689462 487947.82352391, 121378.691 487961.210999999, 121387.745000001 487974.769000001, 121390.29662229368 487978.4398348981)",SIN0201,C,83.0,4.0,3.0,1.0,14.0,2.0,8.0
ROK0101-B,120.0,"LINESTRING (121318.77302141569 486902.92613478523, 121319.271000002 486901.660999998, 121318.763999999 486901.465999998, 121325.528000001 486885.798, 121336.73542572925 486856.86105681944)",ROK0101,B,100.0,4.0,50.0,4.0,50.0,4.0,6.0
ROK0101-C,120.0,"LINESTRING (121336.73542572925 486856.86105681944, 121338.122000001 486853.280999999, 121353.1162023484 486831.8436080798)",ROK0101,C,50.0,4.0,50.0,4.0,50.0,4.0,7.0
ROK0101-D,120.0,"LINESTRING (121353.1162023484 486831.8436080798, 121361.71352988611 486819.5519052194)",ROK0101,D,50.0,4.0,50.0,4.0,50.0,4.0,7.0
ROK0101-F,120.0,"LINESTRING (121363.71957297824 486816.6838412186, 121389.973000001 486779.149, 121395.9299927833 486770.87552894984)",ROK0101,F,100.0,4.0,50.0,4.0,50.0,4.0,6.0
ROK0101-B,120.0,"LINESTRING (121318.77302141569 486902.92613478523, 121319.271000002 486901.660999998, 121318.763999999 486901.465999998, 121325.528000001 486885.798, 121336.73542572925 486856.86105681944)",ROK0101,B,100.0,4.0,0.0,1.0,0.0,1.0,6.0
ROK0101-C,120.0,"LINESTRING (121336.73542572925 486856.86105681944, 121338.122000001 486853.280999999, 121353.1162023484 486831.8436080798)",ROK0101,C,50.0,4.0,50.0,4.0,50.0,4.0,7.0
ROK0101-F,120.0,"LINESTRING (121363.71957297824 486816.6838412186, 121389.973000001 486779.149, 121395.9299927833 486770.87552894984)",ROK0101,F,100.0,4.0,50.0,4.0,50.0,4.0,6.0
ROK0101-B,120.0,"LINESTRING (121318.77302141569 486902.92613478523, 121319.271000002 486901.660999998, 121318.763999999 486901.465999998, 121325.528000001 486885.798, 121336.73542572925 486856.86105681944)",ROK0101,B,100.0,4.0,50.0,4.0,50.0,4.0,6.0
ROK0101-C,120.0,"LINESTRING (121336.73542572925 486856.86105681944, 121338.122000001 486853.280999999, 121353.1162023484 486831.8436080798)",ROK0101,C,50.0,4.0,50.0,4.0,50.0,4.0,7.0
ROK0101-D,120.0,"LINESTRING (121353.1162023484 486831.8436080798, 121361.71352988611 486819.5519052194)",ROK0101,D,50.0,4.0,50.0,4.0,50.0,4.0,7.0
ROK0101-F,120.0,"LINESTRING (121363.71957297824 486816.6838412186, 121389.973000001 486779.149, 121395.9299927833 486770.87552894984)",ROK0101,F,100.0,4.0,50.0,4.0,50.0,4.0,6.0
SIN0401-B,120.0,"LINESTRING (121126.68943940251 487591.4125937847, 121199.737 487697.833000001, 121201.894000001 487701.015000001, 121207.390000001 487708.328000002, 121212.066 487715.469999999)",SIN0401,B,100.0,4.0,71.0,4.0,34.0,3.0,10.666666666666666
SCK0303-A,74.0,"LINESTRING (118165.982000001 483977.254999999, 118176.899999999 483973.546999998, 118181.634 483971.98, 118183.2971 483971.5559, 118184.985100001 483971.245099999, 118186.690200001 483971.049199998, 118188.4047 483970.969099998, 118190.120700002 483971.004900001, 118191.8303 483971.156800002, 118193.525699999 483971.423799999, 118195.199200001 483971.804900002, 118196.8431 483972.2982, 118198.449999999 483972.901500002, 118200.0123 483973.612100001, 118201.522999998 483974.426600002, 118202.975299999 483975.341400001, 118204.362300001 483976.352299999, 118205.677900001 483977.454700001, 118206.915899999 483978.643399999, 118208.070700001 483979.913199998, 118209.136999998 483981.258099999, 118210.109999999 483982.671999998, 118214.59 483989.964000002)",SCK0303,A,14.0,2.0,0.0,1.0,0.0,1.0,1.3333333333333333
SCK0306-B,110.0,"LINESTRING (118557.25368605659 484830.42420936184, 118557.170000002 484830.013, 118548.66 484789.318999998, 118541.782000002 484756.956999999, 118535.348000001 484725.548999999, 118527.1536 484685.741799999)",SCK0306,B,22.0,2.0,17.0,2.0,17.0,2.0,4.0
SIG0603-A,126.0,"LINESTRING (120104.802000001 487224.877999999, 120112.313000001 487194.802999999, 120116.534000002 487179.057, 120118.846999999 487169.888999999, 120120.078000002 487165.118000001, 120122.870999999 487154.767000001, 120122.909000002 487154.566, 120122.960000001 487154.368000001, 120123.026000001 487154.173999999, 120123.103999998 487153.986000001, 120123.195999999 487153.802999999, 120123.300999999 487153.627, 120123.418000001 487153.458999999, 120123.546 487153.300000001, 120123.684999999 487153.149999999, 120123.833999999 487153.010000002, 120123.993000001 487152.881000001, 120124.16 487152.763, 120124.352000002 487152.649, 120124.83548706725 487150.79289578274)",SIG0603,A,80.0,4.0,28.0,2.0,28.0,2.0,4.666666666666667
SIN0501-A,120.0,"LINESTRING (121050.09 487401.191, 121060.37579071759 487444.588724702)",SIN0501,A,83.33333333333334,4.0,20.0,2.0,23.0,2.0,9.333333333333334
SIN0501-C,120.0,"LINESTRING (121061.82871631223 487450.71889657696, 121067.50204482462 487474.6557581839)",SIN0501,C,100.0,4.0,100.0,4.0,100.0,4.0,9.333333333333334
KPG0202-A,120.0,"LINESTRING (121035.201000001 488214.912, 121037.030999999 488214.971000001, 121041.221000001 488217.090999998, 121043.64113723185 488221.4356729215)",KPG0202,A,100.0,4.0,33.0,3.0,22.0,2.0,8.0
KPG0202-C,120.0,"LINESTRING (121044.78471917017 488223.4886513311, 121067.693 488264.614)",KPG0202,C,83.0,4.0,67.0,4.0,76.0,4.0,8.0
SGG0101-A,120.0,"LINESTRING (120922.305 486113.052999999, 120922.477000002 486113.491, 120922.541000001 486113.636, 120922.609999999 486113.778999999, 120922.701000001 486113.949999999, 120942.42638352973 486148.7693392901)",SGG0101,A,100.0,4.0,27.0,2.0,23.0,2.0,6.0
SGG0102-A,120.0,"LINESTRING (120980.659000002 486186.370999999, 120980.482000001 486185.923999999, 120980.43 486185.809999999, 120980.375 486185.704, 120975 486175.822999999, 120973.394000001 486172.870000001, 120965.3027168999 486158.30139757245)",SGG0102,A,100.0,4.0,8.0,1.0,17.0,2.0,7.0
SGG0102-C,120.0,"LINESTRING (120956.07757909757 486141.6912551128, 120940.221000001 486113.140999999, 120936.38525636967 486106.88070331624)",SGG0102,C,83.0,4.0,48.0,3.0,19.0,2.0,8.0
SIG0203-A,214.0,"LINESTRING (120511.311000001 488369.827, 120509.690000001 488369.107000001, 120509.649 488369.199000001, 120500 488364.910999998, 120451.771000002 488342.820999999, 120451.63907006246 488342.31854342396)",SIG0203,A,62.0,4.0,38.0,3.0,7.0,1.0,4.0
SIG0802-A,142.0,"LINESTRING (120462.434999999 486482.476, 120453.454999998 486477.625999998, 120448.513 486474.675000001, 120443.853999998 486471.293000001, 120443.017000001 486470.614999998, 120438.352000002 486466.263, 120434.094000001 486461.511999998, 120430.278000001 486456.399999999, 120429.627 486455.425000001, 120429.539000001 486455.320999999, 120429.502999999 486455.272999998, 120426.535999998 486450.333000001, 120424.021000002 486445.147999998, 120422.609999999 486441.583000001, 120422.605 486441.57, 120422.565000001 486441.449000001, 120420.748 486435.333000001, 120419.484000001 486429.079, 120419.171999998 486426.844999999, 120418.732999999 486420.910999998, 120418.826000001 486414.960999999, 120419.451000001 486409.043000001, 120420.601 486403.204, 120422.267999999 486397.491999999, 120423.813999999 486393.405000001, 120424.022999998 486392.925999999, 120426.480999999 486387.692000002, 120429.396000002 486382.697999999, 120431.447999999 486379.706999999, 120432.642999999 486378.037999999, 120434.504000001 486375.818999998, 120439.311999999 486370.772999998, 120444.550999999 486366.177000001, 120449.75764524068 486362.36396565335)",SIG0802,A,86.0,4.0,100.0,4.0,70.0,4.0,9.333333333333334
AMS0305-A,140.0,"LINESTRING (121945.181000002 486545.951000001, 121944.063999999 486545.568, 121943.971999999 486545.528999999, 121943.886 486545.477000002, 121943.807999998 486545.412999999, 121943.741 486545.339000002, 121943.684 486545.256000001, 121943.640999999 486545.166000001, 121943.609999999 486545.07, 121943.594000001 486544.971000001, 121943.590999998 486544.870999999, 121943.603999998 486544.771000002, 121943.622000001 486544.697999999, 121973.802000001 486447.195999999, 121979.23446706794 486430.37725654204)",AMS0305,A,89.0,4.0,15.0,2.0,15.0,2.0,9.333333333333334
GDK0202-A,120.0,"LINESTRING (121898.078000002 487388.820999999, 121896.70904467205 487384.3634748668)",GDK0202,A,100.0,4.0,0.0,1.0,0.0,1.0,5.0
JLK0202-B,134.0,"LINESTRING (119707.83687885628 486412.404876129, 119720.035999998 486417.017000001, 119730.471000001 486421.072000001, 119747.5 486427.691, 119771.140000001 486436.800000001, 119883.155000001 486489.855, 119883.427999999 486489.991, 119883.693 486490.140000001, 119883.952 486490.300999999, 119884.203000002 486490.473999999, 119884.431400001 486490.648600001, 119884.445 486490.659000002, 119884.679000001 486490.853999998, 119884.903000001 486491.061000001, 119884.96016390168 486491.11869814375)",JLK0202,B,100.0,4.0,15.0,2.0,50.0,4.0,6.0
KZG0601-A,120.0,"LINESTRING (120754.412 486900.127, 120754.324000001 486900.296, 120754.249000002 486900.469999999, 120754.188000001 486900.649, 120754.140000001 486900.833000001, 120754.105999999 486901.02, 120754.087000001 486901.208000001, 120754.081999999 486901.397999998, 120754.098999999 486902.949000001, 120754.002999999 486902.956999999, 120755.93863545211 486932.9187449196)",KZG0601,A,100.0,4.0,7.0,1.0,53.0,4.0,8.0
KZG0601-C,120.0,"LINESTRING (120757.0721368709 486951.8848515413, 120757.71591888623 486962.86599650513)",KZG0601,C,100.0,4.0,40.0,3.0,50.0,4.0,8.0
KZG0601-D,120.0,"LINESTRING (120757.71591888623 486962.86599650513, 120757.919 486966.329999998, 120757.769000001 486966.339000002, 120757.875999998 486968.169, 120758.58345512589 486978.6918991427)",KZG0601,D,100.0,4.0,13.0,2.0,100.0,4.0,8.0
KZG0601-F,120.0,"LINESTRING (120760.52853716353 487007.62659554265, 120762.425999999 487035.861000001, 120763.31740968079 487052.539103893)",KZG0601,F,100.0,4.0,42.0,3.0,30.0,3.0,8.0
KZG0602-A,120.0,"LINESTRING (120790.015000001 487053.050000001, 120790.068 487052.916999999, 120790.107999999 487052.780000001, 120790.134 487052.638999999, 120790.145 487052.497000001, 120790.142000001 487052.353999998, 120786.440000001 487000, 120786.144000001 486995.813000001, 120785.728 486995.441, 120785.03450847897 486985.41993320006)",KZG0602,A,67.0,4.0,31.0,3.0,21.0,2.0,7.0
KZG0602-C,120.0,"LINESTRING (120783.10143763288 486957.4867408099, 120781.785 486938.464000002, 120779.59071685855 486902.599300252)",KZG0602,C,88.0,4.0,26.0,2.0,3.0,1.0,7.0
KZG0702-B,120.0,"LINESTRING (120778.60144494043 486879.13802296954, 120772.27729817094 486779.33819748054)",KZG0702,B,87.0,4.0,14.0,2.0,19.0,2.0,10.666666666666666
KZG0702-C,120.0,"LINESTRING (120772.27729817094 486779.33819748054, 120772.261 486779.081, 120772.991 486779.000999998, 120771.57336516255 486755.0349750875)",KZG0702,C,33.0,3.0,25.0,2.0,59.0,4.0,9.333333333333334
KZG0702-D,120.0,"LINESTRING (120771.57336516255 486755.0349750875, 120771.094000001 486746.931000002, 120772.660999998 486737.191, 120772.91264938991 486736.2060254948)",KZG0702,D,50.0,4.0,67.0,4.0,53.0,4.0,10.666666666666666
KZG0702-F,120.0,"LINESTRING (120782.45085425985 486707.95487040584, 120785.77823532392 486701.7962556871)",KZG0702,F,50.0,4.0,0.0,1.0,0.0,1.0,7.0
NHG0201-A,120.0,"LINESTRING (122160.386 486635.506000001, 122174.77608333982 486639.7398518492)",NHG0201,A,100.0,4.0,33.0,3.0,0.0,1.0,2.6666666666666665
NHG0201-B,120.0,"LINESTRING (122174.77608333982 486639.7398518492, 122188.20682779032 486643.6914469076)",NHG0201,B,100.0,4.0,30.0,3.0,30.0,3.0,3.0
NHG0201-C,162.0,"LINESTRING (122188.20682779032 486643.6914469076, 122194.833000001 486645.640999999, 122197.594999999 486646.831, 122201.8006755534 486649.6901843655)",NHG0201,C,100.0,4.0,33.0,3.0,0.0,1.0,5.0
NHG0201-F,120.0,"LINESTRING (122234.05321597305 486671.61673531355, 122240.460999999 486675.973000001, 122249.388999999 486683.405000001, 122262.098000001 486696.82, 122267.47104272486 486702.9559255925)",NHG0201,F,86.0,4.0,81.0,4.0,42.0,3.0,6.666666666666667
OAW0601-A,120.0,"LINESTRING (121530.84 487056.649999999, 121575.1634109067 487137.26907494775)",OAW0601,A,100.0,4.0,21.0,2.0,22.0,2.0,9.333333333333334
OAW0602-D,120.0,"LINESTRING (121552.27417707794 487074.3709887587, 121549.772 487069.967999998, 121548.34184395816 487067.4042234632)",OAW0602,D,100.0,4.0,43.0,3.0,29.0,2.0,8.0
PRG0704-A,120.0,"LINESTRING (120646.289999999 486891.647999998, 120632.8778989124 486671.05535382766)",PRG0704,A,90.0,4.0,16.0,2.0,17.0,2.0,6.0
EPD0205-A,120.0,"LINESTRING (123100.634 486701.958000001, 123106.460000001 486698.605999999, 123109.30178179817 486696.97106119164)",EPD0205,A,67.0,4.0,0.0,1.0,13.0,2.0,8.0
HEG0601-A,120.0,"LINESTRING (120905.331 486891.02, 120905.239999998 486891.186000001, 120905.160999998 486891.359000001, 120905.094999999 486891.535999998, 120905.043000001 486891.719000001, 120905.004999999 486891.905000001, 120904.980999999 486892.092999998, 120904.971000001 486892.282000002, 120904.976 486892.471999999, 120906.08940758838 486909.9191715475)",HEG0601,A,100.0,4.0,33.0,3.0,0.0,1.0,7.0
HEG0601-B,120.0,"LINESTRING (120906.08940758838 486909.9191715475, 120910.22902277627 486974.7872190447)",HEG0601,B,44.0,3.0,0.0,1.0,100.0,4.0,7.0
HEG0601-C,120.0,"LINESTRING (120910.22902277627 486974.7872190447, 120911.56643691388 486995.7445882361)",HEG0601,C,83.0,4.0,47.0,3.0,0.0,1.0,7.0
HEG0901-A,120.0,"LINESTRING (121531.045000002 486421.886999998, 121530.721000001 486421.943, 121450 486439.452, 121409.916999999 486448.605999999, 121374.877999999 486456.524999999, 121373.561999999 486456.822999999, 121371.500999998 486457.289000001, 121370.184 486457.585999999, 121341.68008559804 486464.02873507625)",HEG0901,A,58.0,4.0,73.0,4.0,25.0,2.0,6.0
KZG0201-A,120.0,"LINESTRING (120864.164999999 487641.153000001, 120864.149 487641.298999999, 120864.146000002 487641.445999999, 120864.159000002 487641.592, 120864.184999999 487641.737, 120864.226 487641.877999999, 120864.280000001 487642.013999999, 120864.346999999 487642.145, 120897.941 487700.230999999, 120908.460999999 487718.471000001, 120926.616999999 487750, 120926.620000001 487750, 120940.160999998 487773.511, 120951.000999998 487792.361000001, 120950.851 487792.441, 120958.171 487805.271000002, 120964.431000002 487816.271000002, 120964.590999998 487816.201000001, 120965.250999998 487817.390999999, 120965.95330819068 487818.62423974305)",KZG0201,A,80.0,4.0,51.0,4.0,51.0,4.0,10.666666666666666
KZG0701-A,120.0,"LINESTRING (120763.809999999 486685.059, 120763.592999998 486685.169, 120763.381999999 486685.291000001, 120763.179000001 486685.425999999, 120762.984000001 486685.572999999, 120762.798 486685.730999999, 120762.622000001 486685.899999999, 120762.456 486686.079, 120762.300999999 486686.267000001, 120762.157000002 486686.464000002, 120762.024999999 486686.669, 120758.377999999 486694.363000002, 120755.664000001 486700.074999999, 120752.43368302516 486707.0896862688)",KZG0701,A,100.0,4.0,0.0,1.0,0.0,1.0,7.0
KZG0701-B,120.0,"LINESTRING (120752.43368302516 486707.0896862688, 120750.784000002 486710.671999998, 120750.552999999 486710.568, 120748.348999999 486716.500999998, 120744.381000001 486731.991, 120743.894000001 486745.364, 120747.80910821183 486809.345916881)",KZG0701,B,86.0,4.0,89.0,4.0,30.0,3.0,8.0
KZG0701-C,120.0,"LINESTRING (120747.80910821183 486809.345916881, 120748.238000002 486816.355, 120748.546999998 486816.335000001, 120751.84546804879 486867.8977667256)",KZG0701,C,100.0,4.0,100.0,4.0,5.0,1.0,8.0
KZG0701-D,120.0,"LINESTRING (120751.84546804879 486867.8977667256, 120752.431000002 486877.050999999, 120751.991 486877.101, 120752.00964261506 486877.48577446153)",KZG0701,D,100.0,4.0,100.0,4.0,17.0,2.0,7.0
LYG0501-B,115.0,"LINESTRING (120251.177000001 487440.495000001, 120239.4440539998 487386.76104445953)",LYG0501,B,56.0,4.0,33.0,3.0,12.0,2.0,6.0
LYG0501-C,132.0,"LINESTRING (120239.4440539998 487386.76104445953, 120236.875999998 487375, 120234.691 487364.991, 120227.58158010455 487332.0319206899)",LYG0501,C,91.0,4.0,9.0,1.0,37.0,3.0,9.333333333333334
NAG0101-A,124.0,"LINESTRING (122170.151000001 486134.931000002, 122209.938999999 486147.140999999, 122258.101 486162.021000002, 122261.88982437951 486163.21465574316)",NAG0101,A,92.0,4.0,48.0,3.0,33.0,3.0,6.0
OAW0701-B,120.0,"LINESTRING (121477.05038760825 486959.6785449434, 121477.201000001 486959.931000002, 121480.074000001 486965.193, 121499.282000002 487000, 121523.370000001 487043.649999999)",OAW0701,B,100.0,4.0,62.0,4.0,46.0,3.0,6.0
OAW0702-A,120.0,"LINESTRING (121531.09 487037.43, 121517.77495870342 487012.7985226738)",OAW0702,A,100.0,4.0,14.0,2.0,18.0,2.0,8.0
OAW0702-C,120.0,"LINESTRING (121500.62204193292 486981.16871280695, 121489.963 486961.486000001, 121486.8288452212 486955.6589789161)",OAW0702,C,100.0,4.0,43.0,3.0,52.0,4.0,8.0
OAW0702-D,120.0,"LINESTRING (121486.8288452212 486955.6589789161, 121480.311000001 486943.541000001)",OAW0702,D,50.0,4.0,50.0,4.0,0.0,1.0,7.0
PRG0701-B,120.0,"LINESTRING (120613.15817007699 486754.1181365493, 120613.195999999 486754.851, 120613.662999999 486762.068999998, 120615.736000001 486801.122000001, 120618.118999999 486837.375999998, 120620.526000001 486868.708000001, 120620.442000002 486875.368000001, 120619.541000001 486880.390999999, 120619.56738451989 486880.7949763167)",PRG0701,B,81.0,4.0,100.0,4.0,17.0,2.0,9.333333333333334
PRG0803-B,120.0,"LINESTRING (120682.09362168924 486567.26367133646, 120694.478999998 486553.872000001, 120744.537999999 486499.609999999, 120749.25455142486 486494.5285197039)",PRG0803,B,77.0,4.0,60.0,4.0,50.0,4.0,6.0
REG0201-B,120.0,"LINESTRING (121028.71937464924 488930.14358481363, 121055.699999999 488932.600000001, 121074.190000001 488934.34, 121099.52 488936.629999999, 121117.16 488938.170000002, 121119.989999998 488938.460000001, 121127.07 488939.210000001, 121127.346999999 488939.199999999, 121127.623 488939.184, 121127.897999998 488939.162999999, 121128.173 488939.136, 121128.447999999 488939.103, 121128.721000001 488939.063999999, 121128.993999999 488939.02, 121129.265999999 488938.969999999, 121129.535999998 488938.914000001, 121129.806000002 488938.853, 121130.074000001 488938.785999998, 121130.340999998 488938.713, 121130.605999999 488938.635000002, 121130.868999999 488938.552000001, 121131.261 488938.416000001, 121131.519000001 488938.318999998, 121131.903999999 488938.162999999, 121132.157000002 488938.052999999, 121132.408 488937.936999999, 121132.655999999 488937.816)",REG0201,B,67.0,4.0,92.0,4.0,1.0,1.0,10.666666666666666
SIN0903-A,120.0,"LINESTRING (121080.431000002 486739.221000001, 121049.351 486776.721000001, 121022.93882310925 486808.46435446484)",SIN0903,A,85.0,4.0,39.0,3.0,0.0,1.0,8.0
SIN1001-A,108.0,"LINESTRING (121350.892000001 486666.208999999, 121350.259 486665.756000001, 121350.179000001 486665.690000001, 121350.109000001 486665.613000002, 121350.050000001 486665.528000001, 121350.002999999 486665.434999999, 121349.969999999 486665.337000001, 121349.692000002 486664.045000002, 121349.669 486663.982000001, 121349.636 486663.932, 121349.590999998 486663.892000001, 121347.745000001 486662.603999998, 121347.697000001 486662.668000001, 121346.284000002 486661.827, 121344.861000001 486661.102000002, 121342.754999999 486660.101, 121341.026000001 486659.421, 121339.616 486659, 121337.405999999 486658.348000001, 121335.78578526239 486658.00410462025)",SIN1001,A,67.0,4.0,0.0,1.0,0.0,1.0,8.0
SIN1001-B,120.0,"LINESTRING (121335.78578526239 486658.00410462025, 121334.875999998 486657.811000001, 121332.298999999 486657.469999999, 121329.441 486657.204999998, 121326.555 486657.015000001, 121325.84708186073 486657.00590117945)",SIN1001,B,100.0,4.0,50.0,4.0,25.0,2.0,8.0
SIN1001-C,120.0,"LINESTRING (121325.84708186073 486657.00590117945, 121321.809 486656.954, 121313.785999998 486656.844999999, 121305.631000001 486656.831, 121297.763999999 486656.864, 121287.192000002 486657.25, 121277.965999998 486657.780000001, 121266.098000001 486658.596000001, 121260.9177258796 486659.0425861702)",SIN1001,C,89.0,4.0,50.0,4.0,0.0,1.0,6.0
SIN1001-D,120.0,"LINESTRING (121260.9177258796 486659.0425861702, 121253.94359374257 486659.64381901646)",SIN1001,D,50.0,4.0,50.0,4.0,16.0,2.0,8.0
SIN1001-E,120.0,"LINESTRING (121253.94359374257 486659.64381901646, 121249.579999998 486660.02, 121201.673 486669.653000001, 121174.88754270691 486676.92225730576)",SIN1001,E,92.0,4.0,50.0,4.0,5.0,1.0,8.0
SIN1001-F,120.0,"LINESTRING (121174.88754270691 486676.92225730576, 121166.2017226155 486679.27948647144)",SIN1001,F,100.0,4.0,0.0,1.0,100.0,4.0,8.0
SIN1001-G,120.0,"LINESTRING (121166.2017226155 486679.27948647144, 121157.51590252409 486681.63671563717)",SIN1001,G,100.0,4.0,0.0,1.0,0.0,1.0,6.0
